packet_id,send_time,receive_time,delay_ms
1,1759775756.2618906,1759775756.6691236,407.233
2,1759775756.2638907,1759775756.570174,306.283
3,1759775756.2658906,1759775756.6257126,359.822
4,1759775756.2678907,1759775756.608673,340.782
5,1759775756.2698905,1759775756.7613988,491.508
6,1759775756.2718906,1759775756.7703161,498.425
7,1759775756.2738907,1759775756.6137624,339.872
8,1759775756.2758906,1759775756.7888703,512.98
9,1759775756.2778907,1759775756.6826317,404.741
10,1759775756.2798905,1759775756.6410615,361.171
11,1759775756.2818906,1759775756.6220868,340.196
12,1759775756.2838907,1759775756.6068575,322.967
13,1759775756.2858906,1759775756.692997,407.106
14,1759775756.2878907,1759775756.7193725,431.482
15,1759775756.2898908,1759775756.6656225,375.732
16,1759775756.2918906,1759775756.6108794,318.989
17,1759775756.2938907,1759775756.7097888,415.898
18,1759775756.2958906,1759775756.658477,362.587
19,1759775756.2978907,1759775756.7714136,473.523
20,1759775756.2998908,1759775756.7250218,425.131
21,1759775756.3018906,1759775756.7731497,471.259
22,1759775756.3038907,1759775756.7370014,433.111
23,1759775756.3058906,1759775756.6518385,345.948
24,1759775756.3078907,1759775756.6483762,340.486
25,1759775756.3098907,1759775756.6306424,320.752
26,1759775756.3118906,1759775756.6994047,387.514
27,1759775756.3138907,1759775756.7544224,440.532
28,1759775756.3158906,1759775756.5968153,280.925
29,1759775756.3178906,1759775756.647836,329.945
30,1759775756.3198907,1759775756.730965,411.074
31,1759775756.3218906,1759775756.7082684,386.378
32,1759775756.3238907,1759775756.8176215,493.731
33,1759775756.3258905,1759775756.765015,439.124
34,1759775756.3278906,1759775756.7098355,381.945
35,1759775756.3298907,1759775756.6777062,347.815
36,1759775756.3318906,1759775756.6922693,360.379
37,1759775756.3338907,1759775756.6569107,323.02
38,1759775756.3358905,1759775756.8230577,487.167
39,1759775756.3378906,1759775756.8242576,486.367
40,1759775756.3398907,1759775756.835866,495.975
41,1759775756.3418906,1759775756.7376883,395.798
42,1759775756.3438907,1759775756.7602048,416.314
43,1759775756.3458908,1759775756.7008188,354.928
44,1759775756.3478906,1759775756.781154,433.263
45,1759775756.3498907,1759775756.8845532,534.662
46,1759775756.3518906,1759775756.8533926,501.502
47,1759775756.3538907,1759775756.688235,334.344
48,1759775756.3558908,1759775756.788885,432.994
49,1759775756.3578906,1759775756.7411273,383.237
50,1759775756.3598907,1759775756.7353709,375.48
51,1759775756.3618906,1759775756.651395,289.505
52,1759775756.3638906,1759775756.7838,419.909
53,1759775756.3658907,1759775756.7529898,387.099
