packet_id,send_time,receive_time,delay_ms
1,1759785756.2731972,1759785756.4772537,204.057
2,1759785756.2751973,1759785756.4230335,147.836
3,1759785756.2771971,1759785756.4868295,209.633
4,1759785756.2791972,1759785756.4528372,173.64
5,1759785756.281197,1759785756.504351,223.154
6,1759785756.2831972,1759785756.5227048,239.508
7,1759785756.2851973,1759785756.5374503,252.253
8,1759785756.287197,1759785756.4441717,156.975
9,1759785756.2891972,1759785756.4570997,167.903
10,1759785756.291197,1759785756.437968,146.771
11,1759785756.2931972,1759785756.5272615,234.064
12,1759785756.2951972,1759785756.5233767,228.179
13,1759785756.297197,1759785756.508677,211.48
14,1759785756.2991972,1759785756.4580355,158.838
15,1759785756.3011973,1759785756.4755256,174.328
16,1759785756.3031971,1759785756.5055118,202.315
17,1759785756.3051972,1759785756.549728,244.531
18,1759785756.307197,1759785756.4877,180.503
19,1759785756.3091972,1759785756.5391834,229.986
20,1759785756.3111973,1759785756.5550535,243.856
21,1759785756.3131971,1759785756.5388038,225.607
22,1759785756.3151972,1759785756.491822,176.625
23,1759785756.317197,1759785756.53115,213.953
24,1759785756.3191972,1759785756.4878235,168.626
25,1759785756.3211973,1759785756.4949954,173.798
26,1759785756.3231971,1759785756.5144994,191.302
27,1759785756.3251972,1759785756.4942358,169.038
28,1759785756.327197,1759785756.5177689,190.572
29,1759785756.3291972,1759785756.539951,210.754
30,1759785756.3311973,1759785756.5944088,263.211
31,1759785756.333197,1759785756.4883814,155.184
32,1759785756.3351972,1759785756.5132444,178.047
33,1759785756.337197,1759785756.555423,218.226
34,1759785756.3391972,1759785756.589284,250.087
35,1759785756.3411973,1759785756.5502255,209.028
36,1759785756.343197,1759785756.5471537,203.957
37,1759785756.3451972,1759785756.5711656,225.968
38,1759785756.347197,1759785756.5775802,230.383
39,1759785756.3491971,1759785756.530308,181.111
40,1759785756.3511972,1759785756.6098506,258.653
41,1759785756.353197,1759785756.5184228,165.226
42,1759785756.3551972,1759785756.5913815,236.184
43,1759785756.3571973,1759785756.5805886,223.391
44,1759785756.3591971,1759785756.5513124,192.115
45,1759785756.3611972,1759785756.540041,178.844
46,1759785756.363197,1759785756.535323,172.126
47,1759785756.3651972,1759785756.6014972,236.3
48,1759785756.3671973,1759785756.6179345,250.737
49,1759785756.3691971,1759785756.6140463,244.849
50,1759785756.3711972,1759785756.5867264,215.529
51,1759785756.373197,1759785756.5768867,203.69
52,1759785756.3751972,1759785756.6243074,249.11
53,1759785756.3771973,1759785756.5383246,161.127
54,1759785756.3791971,1759785756.5916257,212.429
55,1759785756.3811972,1759785756.565464,184.267
56,1759785756.383197,1759785756.6273823,244.185
57,1759785756.3851972,1759785756.6210544,235.857
58,1759785756.3871973,1759785756.5709372,183.74
59,1759785756.389197,1759785756.637051,247.854
60,1759785756.3911972,1759785756.5649192,173.722
61,1759785756.393197,1759785756.638406,245.209
62,1759785756.3951972,1759785756.586691,191.494
63,1759785756.3971972,1759785756.6069956,209.798
64,1759785756.399197,1759785756.6225753,223.378
65,1759785756.4011972,1759785756.6062503,205.053
66,1759785756.4031973,1759785756.6252365,222.039
67,1759785756.4051971,1759785756.5429392,137.742
68,1759785756.4071972,1759785756.5890422,181.845
69,1759785756.409197,1759785756.6083345,199.138
70,1759785756.4111972,1759785756.574545,163.348
71,1759785756.4131973,1759785756.6366968,223.5
72,1759785756.4151971,1759785756.6328428,217.646
73,1759785756.4171972,1759785756.6133404,196.143
74,1759785756.419197,1759785756.6044602,185.263
75,1759785756.4211972,1759785756.620386,199.189
76,1759785756.4231973,1759785756.6299362,206.739
77,1759785756.4251971,1759785756.646454,221.257
78,1759785756.4271972,1759785756.602049,174.852
79,1759785756.429197,1759785756.6655655,236.368
80,1759785756.4311972,1759785756.5806704,149.473
81,1759785756.4331973,1759785756.6338673,200.67
82,1759785756.435197,1759785756.6557434,220.546
83,1759785756.4371972,1759785756.662098,224.901
84,1759785756.439197,1759785756.6739237,234.727
85,1759785756.4411972,1759785756.651229,210.032
86,1759785756.4431973,1759785756.6345508,191.354
87,1759785756.445197,1759785756.6534429,208.246
88,1759785756.4471972,1759785756.6134527,166.255
89,1759785756.4491973,1759785756.6724677,223.27
90,1759785756.4511971,1759785756.7003129,249.116
91,1759785756.4531972,1759785756.6887689,235.572
92,1759785756.455197,1759785756.6211073,165.91
93,1759785756.4571972,1759785756.7096405,252.443
94,1759785756.4591973,1759785756.699766,240.569
95,1759785756.4611971,1759785756.6759038,214.707
96,1759785756.4631972,1759785756.7128541,249.657
97,1759785756.465197,1759785756.6657965,200.599
98,1759785756.4671972,1759785756.6275196,160.322
99,1759785756.4691973,1759785756.6430225,173.825
100,1759785756.4711971,1759785756.6377368,166.54
101,1759785756.4731972,1759785756.6859565,212.759
102,1759785756.475197,1759785756.726656,251.459
103,1759785756.4771972,1759785756.69695,219.753
104,1759785756.4791973,1759785756.6904285,211.231
105,1759785756.481197,1759785756.6738825,192.685
106,1759785756.4831972,1759785756.670193,186.996
107,1759785756.485197,1759785756.6555603,170.363
108,1759785756.4871972,1759785756.6602125,173.015
109,1759785756.4891973,1759785756.6758056,186.608
110,1759785756.491197,1759785756.6387112,147.514
111,1759785756.4931972,1759785756.6790671,185.87
112,1759785756.495197,1759785756.7208626,225.666
113,1759785756.4971972,1759785756.705814,208.617
114,1759785756.4991972,1759785756.6658373,166.64
115,1759785756.501197,1759785756.6748202,173.623
116,1759785756.5031972,1759785756.7062159,203.019
117,1759785756.5051973,1759785756.6783862,173.189
118,1759785756.5071971,1759785756.745546,238.349
119,1759785756.5091972,1759785756.706635,197.438
120,1759785756.511197,1759785756.740238,229.041
121,1759785756.5131972,1759785756.7048633,191.666
122,1759785756.5151973,1759785756.6843975,169.2
123,1759785756.5171971,1759785756.696579,179.382
124,1759785756.5191972,1759785756.7110434,191.846
125,1759785756.521197,1759785756.703418,182.221
126,1759785756.5231972,1759785756.7485037,225.307
127,1759785756.5251973,1759785756.696428,171.231
128,1759785756.5271971,1759785756.7345636,207.367
129,1759785756.5291972,1759785756.690956,161.759
130,1759785756.531197,1759785756.6774633,146.266
131,1759785756.5331972,1759785756.7366724,203.475
132,1759785756.5351973,1759785756.7078593,172.662
133,1759785756.537197,1759785756.784777,247.58
134,1759785756.5391972,1759785756.6930673,153.87
135,1759785756.541197,1759785756.7115285,170.331
136,1759785756.5431972,1759785756.716142,172.945
137,1759785756.5451972,1759785756.7183573,173.16
138,1759785756.547197,1759785756.7073839,160.187
139,1759785756.5491972,1759785756.7200918,170.895
140,1759785756.5511973,1759785756.7702985,219.101
141,1759785756.5531971,1759785756.794549,241.352
142,1759785756.5551972,1759785756.7544327,199.235
143,1759785756.557197,1759785756.7942424,237.045
144,1759785756.5591972,1759785756.8052979,246.101
145,1759785756.5611973,1759785756.7357283,174.531
146,1759785756.5631971,1759785756.722873,159.676
147,1759785756.5651972,1759785756.738743,173.546
148,1759785756.567197,1759785756.8075845,240.387
149,1759785756.5691972,1759785756.7920773,222.88
150,1759785756.5711973,1759785756.797782,226.585
151,1759785756.5731971,1759785756.725824,152.627
152,1759785756.5751972,1759785756.8157606,240.563
153,1759785756.577197,1759785756.7473423,170.145
154,1759785756.5791972,1759785756.7372699,158.073
155,1759785756.5811973,1759785756.7381647,156.967
156,1759785756.583197,1759785756.7703333,187.136
157,1759785756.5851972,1759785756.796958,211.761
158,1759785756.587197,1759785756.743285,156.088
159,1759785756.5891972,1759785756.7965286,207.331
160,1759785756.5911973,1759785756.7465909,155.394
161,1759785756.593197,1759785756.759041,165.844
162,1759785756.5951972,1759785756.7692544,174.057
163,1759785756.597197,1759785756.7969882,199.791
164,1759785756.5991971,1759785756.8536003,254.403
165,1759785756.6011972,1759785756.840795,239.598
166,1759785756.603197,1759785756.7926934,189.496
167,1759785756.6051972,1759785756.8096647,204.468
168,1759785756.6071973,1759785756.7674806,160.283
169,1759785756.6091971,1759785756.7888982,179.701
170,1759785756.6111972,1759785756.841696,230.499
171,1759785756.613197,1759785756.7670715,153.874
172,1759785756.6151972,1759785756.767209,152.012
173,1759785756.6171973,1759785756.7812984,164.101
174,1759785756.6191971,1759785756.836024,216.827
175,1759785756.6211972,1759785756.8585374,237.34
176,1759785756.623197,1759785756.8706574,247.46
177,1759785756.6251972,1759785756.855815,230.618
178,1759785756.6271973,1759785756.8045645,177.367
179,1759785756.6291971,1759785756.846777,217.58
180,1759785756.6311972,1759785756.8036652,172.468
181,1759785756.633197,1759785756.8257146,192.517
182,1759785756.6351972,1759785756.788425,153.228
183,1759785756.6371973,1759785756.8416631,204.466
184,1759785756.639197,1759785756.8182433,179.046
185,1759785756.6411972,1759785756.8060796,164.882
186,1759785756.643197,1759785756.8216689,178.472
187,1759785756.6451972,1759785756.9019196,256.722
188,1759785756.6471972,1759785756.8433688,196.172
189,1759785756.649197,1759785756.8939154,244.718
190,1759785756.6511972,1759785756.81016,158.963
191,1759785756.6531973,1759785756.8723516,219.154
192,1759785756.6551971,1759785756.8064954,151.298
193,1759785756.6571972,1759785756.8490894,191.892
194,1759785756.659197,1759785756.8430836,183.887
195,1759785756.6611972,1759785756.8908432,229.646
196,1759785756.6631973,1759785756.8790755,215.878
197,1759785756.6651971,1759785756.8122132,147.016
198,1759785756.6671972,1759785756.8139465,146.749
199,1759785756.669197,1759785756.9140868,244.89
200,1759785756.6711972,1759785756.8498538,178.656
201,1759785756.6731973,1759785756.8412666,168.069
202,1759785756.6751971,1759785756.907026,231.829
203,1759785756.6771972,1759785756.8772016,200.004
204,1759785756.679197,1759785756.8663878,187.191
205,1759785756.6811972,1759785756.9027765,221.579
206,1759785756.6831973,1759785756.92756,244.363
207,1759785756.685197,1759785756.8638506,178.654
208,1759785756.6871972,1759785756.8696086,182.412
209,1759785756.689197,1759785756.8884377,199.241
210,1759785756.6911972,1759785756.8989937,207.796
211,1759785756.6931973,1759785756.8802428,187.046
212,1759785756.695197,1759785756.9200923,224.895
213,1759785756.6971972,1759785756.9274247,230.227
214,1759785756.6991973,1759785756.9039817,204.784
215,1759785756.7011971,1759785756.947143,245.946
216,1759785756.7031972,1759785756.93335,230.153
217,1759785756.705197,1759785756.9161901,210.993
218,1759785756.7071972,1759785756.9372876,230.09
219,1759785756.7091973,1759785756.9275355,218.338
220,1759785756.7111971,1759785756.8950276,183.83
221,1759785756.7131972,1759785756.889823,176.626
222,1759785756.715197,1759785756.9213727,206.176
223,1759785756.7171972,1759785756.9494317,232.235
224,1759785756.7191973,1759785756.878091,158.894
225,1759785756.7211971,1759785756.885782,164.585
226,1759785756.7231972,1759785756.9448297,221.633
227,1759785756.725197,1759785756.9509783,225.781
228,1759785756.7271972,1759785756.907157,179.96
229,1759785756.7291973,1759785756.920367,191.17
230,1759785756.731197,1759785756.936959,205.762
231,1759785756.7331972,1759785756.9324994,199.302
232,1759785756.735197,1759785756.882778,147.581
233,1759785756.7371972,1759785756.9566395,219.442
234,1759785756.7391973,1759785756.9891562,249.959
235,1759785756.741197,1759785756.9204535,179.256
236,1759785756.7431972,1759785756.9321687,188.972
237,1759785756.745197,1759785756.9864078,241.211
238,1759785756.7471972,1759785756.948412,201.215
239,1759785756.7491972,1759785756.9236917,174.495
240,1759785756.751197,1759785756.9438827,192.686
241,1759785756.7531972,1759785756.963161,209.964
242,1759785756.7551973,1759785756.972062,216.865
243,1759785756.7571971,1759785756.934863,177.666
244,1759785756.7591972,1759785756.9747434,215.546
245,1759785756.761197,1759785756.9909945,229.797
246,1759785756.7631972,1759785756.9505787,187.382
247,1759785756.7651973,1759785756.9605608,195.363
248,1759785756.7671971,1759785756.9460297,178.832
249,1759785756.7691972,1759785757.0206218,251.425
250,1759785756.771197,1759785756.9268987,155.702
251,1759785756.7731972,1759785756.980616,207.419
252,1759785756.7751973,1759785756.952748,177.551
253,1759785756.7771971,1759785757.0232627,246.066
254,1759785756.7791972,1759785757.0020003,222.803
255,1759785756.781197,1759785757.0203464,239.149
256,1759785756.7831972,1759785756.995545,212.348
257,1759785756.7851973,1759785756.9249158,139.719
258,1759785756.787197,1759785756.9795039,192.307
259,1759785756.7891972,1759785756.9960093,206.812
260,1759785756.791197,1759785757.0136185,222.421
261,1759785756.7931972,1759785757.0416539,248.457
262,1759785756.7951972,1759785757.0287576,233.56
263,1759785756.797197,1759785757.0027187,205.522
264,1759785756.7991972,1759785756.976453,177.256
265,1759785756.8011973,1759785757.0121238,210.926
266,1759785756.8031971,1759785757.0157995,212.602
267,1759785756.8051972,1759785757.015702,210.505
268,1759785756.807197,1759785757.0134444,206.247
269,1759785756.8091972,1759785757.0706348,261.438
270,1759785756.8111973,1759785756.9559247,144.727
271,1759785756.8131971,1759785757.045865,232.668
272,1759785756.8151972,1759785757.0000296,184.832
273,1759785756.817197,1759785756.9874039,170.207
274,1759785756.8191972,1759785757.0545075,235.31
275,1759785756.8211973,1759785756.9968047,175.607
276,1759785756.8231971,1759785757.0508428,227.646
277,1759785756.8251972,1759785756.9840975,158.9
278,1759785756.827197,1759785757.0161226,188.926
279,1759785756.8291972,1759785757.0472584,218.061
280,1759785756.8311973,1759785757.0218122,190.615
281,1759785756.833197,1759785757.0916326,258.436
282,1759785756.8351972,1759785757.0351615,199.964
283,1759785756.837197,1759785757.0213106,184.114
284,1759785756.8391972,1759785756.998107,158.91
285,1759785756.8411973,1759785756.984203,143.006
286,1759785756.843197,1759785757.0031004,159.903
287,1759785756.8451972,1759785757.0248563,179.659
288,1759785756.847197,1759785757.021164,173.967
289,1759785756.8491971,1759785757.0784445,229.247
290,1759785756.8511972,1759785757.0471807,195.983
291,1759785756.853197,1759785756.9967163,143.519
292,1759785756.8551972,1759785757.0008173,145.62
293,1759785756.8571973,1759785757.072494,215.297
294,1759785756.8591971,1759785757.066678,207.481
295,1759785756.8611972,1759785757.037982,176.785
296,1759785756.863197,1759785757.089948,226.751
297,1759785756.8651972,1759785757.1145928,249.396
298,1759785756.8671973,1759785757.0443437,177.146
299,1759785756.8691971,1759785757.0958867,226.69
300,1759785756.8711972,1759785757.0423067,171.109
301,1759785756.873197,1759785757.0174806,144.283
302,1759785756.8751972,1759785757.091264,216.067
303,1759785756.8771973,1759785757.019918,142.721
304,1759785756.8791971,1759785757.0745566,195.359
305,1759785756.8811972,1759785757.1082342,227.037
306,1759785756.883197,1759785757.127768,244.571
307,1759785756.8851972,1759785757.061359,176.162
308,1759785756.8871973,1759785757.0305061,143.309
309,1759785756.889197,1759785757.0619185,172.721
310,1759785756.8911972,1759785757.0523314,161.134
311,1759785756.893197,1759785757.067172,173.975
312,1759785756.8951972,1759785757.0753903,180.193
313,1759785756.8971972,1759785757.1231475,225.95
314,1759785756.899197,1759785757.1130583,213.861
315,1759785756.9011972,1759785757.0962055,195.008
316,1759785756.9031973,1759785757.1365266,233.329
317,1759785756.9051971,1759785757.0898123,184.615
318,1759785756.9071972,1759785757.1386592,231.462
319,1759785756.909197,1759785757.1499913,240.794
320,1759785756.9111972,1759785757.150502,239.305
321,1759785756.9131973,1759785757.0654068,152.21
322,1759785756.9151971,1759785757.100434,185.237
323,1759785756.9171972,1759785757.101896,184.699
324,1759785756.919197,1759785757.1012368,182.04
325,1759785756.9211972,1759785757.1737003,252.503
326,1759785756.9231973,1759785757.1024494,179.252
327,1759785756.9251971,1759785757.1510997,225.903
328,1759785756.9271972,1759785757.1330936,205.896
329,1759785756.929197,1759785757.0998263,170.629
330,1759785756.9311972,1759785757.1043997,173.203
331,1759785756.9331973,1759785757.1508353,217.638
332,1759785756.935197,1759785757.1583657,223.169
333,1759785756.9371972,1759785757.1302538,193.057
334,1759785756.939197,1759785757.083748,144.551
335,1759785756.9411972,1759785757.1095788,168.382
336,1759785756.9431973,1759785757.146898,203.701
337,1759785756.945197,1759785757.1366339,191.437
338,1759785756.9471972,1759785757.1694336,222.236
339,1759785756.9491973,1759785757.096803,147.606
340,1759785756.9511971,1759785757.124758,173.561
341,1759785756.9531972,1759785757.1540143,200.817
342,1759785756.955197,1759785757.124727,169.53
343,1759785756.9571972,1759785757.1481178,190.921
344,1759785756.9591973,1759785757.1992145,240.017
345,1759785756.9611971,1759785757.1941416,232.945
346,1759785756.9631972,1759785757.207682,244.485
347,1759785756.965197,1759785757.1715593,206.362
348,1759785756.9671972,1759785757.1454637,178.266
349,1759785756.9691973,1759785757.1885931,219.396
350,1759785756.9711971,1759785757.1409893,169.792
351,1759785756.9731972,1759785757.2117236,238.526
352,1759785756.975197,1759785757.217822,242.625
353,1759785756.9771972,1759785757.2169347,239.737
354,1759785756.9791973,1759785757.191,211.803
355,1759785756.981197,1759785757.1353562,154.159
356,1759785756.9831972,1759785757.2243598,241.162
357,1759785756.985197,1759785757.2251253,239.928
358,1759785756.9871972,1759785757.2064,219.203
359,1759785756.9891973,1759785757.1609278,171.731
360,1759785756.991197,1759785757.236514,245.317
361,1759785756.9931972,1759785757.148971,155.774
362,1759785756.995197,1759785757.2438316,248.635
363,1759785756.9971972,1759785757.2341647,236.968
364,1759785756.9991972,1759785757.2036352,204.438
365,1759785757.001197,1759785757.257447,256.25
366,1759785757.0031972,1759785757.2392228,236.026
367,1759785757.0051973,1759785757.232474,227.277
368,1759785757.0071971,1759785757.1612692,154.072
369,1759785757.0091972,1759785757.2559257,246.728
370,1759785757.011197,1759785757.2054636,194.267
371,1759785757.0131972,1759785757.175097,161.9
372,1759785757.0151973,1759785757.22565,210.453
373,1759785757.0171971,1759785757.234153,216.956
374,1759785757.0191972,1759785757.2153249,196.128
375,1759785757.021197,1759785757.1942503,173.053
376,1759785757.0231972,1759785757.2053847,182.188
377,1759785757.0251973,1759785757.1945338,169.337
378,1759785757.0271971,1759785757.2668798,239.683
379,1759785757.0291972,1759785757.1765957,147.399
380,1759785757.031197,1759785757.2686656,237.468
381,1759785757.0331972,1759785757.253814,220.617
382,1759785757.0351973,1759785757.2021296,166.932
383,1759785757.037197,1759785757.2890475,251.85
384,1759785757.0391972,1759785757.291972,252.775
385,1759785757.041197,1759785757.2191956,177.999
386,1759785757.0431972,1759785757.2743182,231.121
387,1759785757.0451972,1759785757.2173076,172.11
388,1759785757.047197,1759785757.2119498,164.753
389,1759785757.0491972,1759785757.226039,176.842
390,1759785757.0511973,1759785757.2758842,224.687
391,1759785757.0531971,1759785757.2233672,170.17
392,1759785757.0551972,1759785757.214309,159.112
393,1759785757.057197,1759785757.3040273,246.83
394,1759785757.0591972,1759785757.2076962,148.499
395,1759785757.0611973,1759785757.263219,202.022
396,1759785757.0631971,1759785757.2545056,191.309
397,1759785757.0651972,1759785757.274733,209.536
398,1759785757.067197,1759785757.3058276,238.63
399,1759785757.0691972,1759785757.2773347,208.137
400,1759785757.0711973,1759785757.2102559,139.059
401,1759785757.0731971,1759785757.3072758,234.079
402,1759785757.0751972,1759785757.2214546,146.257
403,1759785757.077197,1759785757.2839084,206.711
404,1759785757.0791972,1759785757.2747474,195.55
405,1759785757.0811973,1759785757.3286235,247.426
406,1759785757.083197,1759785757.3338382,250.641
407,1759785757.0851972,1759785757.242004,156.807
408,1759785757.087197,1759785757.3015256,214.328
409,1759785757.0891972,1759785757.307209,218.012
